"status","id","nome","categoria","subcategoria","preco","destaque","descricao","imagens","nome_variacao_1","variacoes_1","nome_variacao_2","variacoes_2","peso","altura","largura","comprimento"
"ativo","1-1-001","Chaveiro Slim Luffy","Chaveiro","Slim Classic","7.9","One Piece","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-001-chaveiro-slim-luffy/1.png","","","","","0.00342","6.5","0.2","3.8"
"ativo","1-1-002","Chaveiro Slim Luffy (Costas)","Chaveiro","Slim Classic","7.9","One Piece","Tamanho: 6 cm","backend/data/imagens/produtos/chaveiros/1-1-002-chaveiro-slim-luffy-costas/1.png","","","","","0.0027","6","0.2","3.57"
"ativo","1-1-003","Chaveiro Slim Piratas do Chapéu de Palha","Chaveiro","Slim Classic","7.9","One Piece","Tamanho: 5,5 cm","backend/data/imagens/produtos/chaveiros/1-1-003-chaveiro-slim-piratas-do-chapeu-de-palha/1.png","","","","","0.00474","5.5","0.2","5.6"
"ativo","1-1-004","Chaveiro Slim Harry Potter","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-004-chaveiro-slim-harry-potter/1.png","","","","","0.004900000000000001","6.5","0.2","4.93"
"ativo","1-1-005","Chaveiro Slim Hermione Granger","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-005-chaveiro-slim-hermione-granger/1.png","","","","","0.00579","6.5","0.2","5.91"
"ativo","1-1-006","Chaveiro Slim Rony Weasley","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-006-chaveiro-slim-rony-weasley/1.png","","","","","0.00504","6.5","0.2","5.19"
"ativo","1-1-007","Chaveiro Slim Draco Malfoy","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-007-chaveiro-slim-draco-malfoy/1.png","","","","","0.00445","6.5","0.2","4.15"
"ativo","1-1-008","Chaveiro Slim Alvo Dumbledore","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-008-chaveiro-slim-alvo-dumbledore/1.png","","","","","0.00535","6.5","0.2","5.01"
"ativo","1-1-009","Chaveiro Slim Severo Snape","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-009-chaveiro-slim-severo-snape/1.png","","","","","0.00495","6.5","0.2","4.63"
"ativo","1-1-010","Chaveiro Slim Rúbeo Hagrid","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-010-chaveiro-slim-rubeo-hagrid/1.png","","","","","0.0056500000000000005","6.5","0.2","5.84"
"ativo","1-1-011","Chaveiro Slim Luna Lovegood","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-011-chaveiro-slim-luna-lovegood/1.png","","","","","0.00583","6.5","0.2","5.22"
"ativo","1-1-012","Chaveiro Slim Dobby","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-012-chaveiro-slim-dobby/1.png","","","","","0.00592","6.5","0.2","7.17"
"ativo","1-1-013","Chaveiro Slim Lord Voldemort","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-013-chaveiro-slim-lord-voldemort/1.png","","","","","0.00515","6.5","0.2","5.15"
"ativo","1-1-014","Chaveiro Slim Neville Longbottom","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-014-chaveiro-slim-neville-longbottom/1.png","","","","","0.00562","6.5","0.2","5.59"
"ativo","1-1-015","Chaveiro Slim Cedrico Diggory","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-015-chaveiro-slim-cedrico-diggory/1.png","","","","","0.005030000000000001","6.5","0.2","4.64"
"ativo","1-1-016","Chaveiro Slim Bellatrix Lestrange","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-016-chaveiro-slim-bellatrix-lestrange/1.png","","","","","0.00492","6.5","0.2","4.77"
"ativo","1-1-017","Chaveiro Slim Gina Weasley","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-017-chaveiro-slim-gina-weasley/1.png","","","","","0.00508","6.5","0.2","4.62"
"ativo","1-1-018","Chaveiro Slim Sirius Black","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-018-chaveiro-slim-sirius-black/1.png","","","","","0.00534","6.5","0.2","5.46"
"ativo","1-1-019","Chaveiro Slim Testrálio","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-019-chaveiro-slim-testralio/1.png","","","","","0.00456","6.5","0.2","6.49"
"ativo","1-1-020","Chaveiro Slim Hipogrifo","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-020-chaveiro-slim-hipogrifo/1.png","","","","","0.0067","6.5","0.2","6.09"
"ativo","1-1-021","Chaveiro Slim Plataforma 9¾","Chaveiro","Slim Classic","7.9","Harry Potter","Tamanho: 6,5 cm","backend/data/imagens/produtos/chaveiros/1-1-021-chaveiro-slim-plataforma-9¾/1.png","","","","","0.00662","6.5","0.2","5.94"
