"id","nome","categoria","subcategoria","preco","destaque","descricao","imagens","nome_variacao_1","variacoes_1","nome_variacao_2","variacoes_2"
"1-1-001","Chaveiro Slim Luffy","Chaveiro","Slim Classic","8","Produto em impressão 3D","One Piece Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-001-chaveiro-slim-luffy/1.png","","","",""
"1-1-002","Chaveiro Slim Luffy (Costas)","Chaveiro","Slim Classic","8","Produto em impressão 3D","One Piece Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-002-chaveiro-slim-luffy-costas/1.png","","","",""
"1-1-003","Chaveiro Slim Piratas do Chapéu de Palha","Chaveiro","Slim Classic","8","Produto em impressão 3D","One Piece Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-003-chaveiro-slim-piratas-do-chapeu-de-palha/1.png","","","",""
"1-1-004","Chaveiro Slim Harry Potter","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-004-chaveiro-slim-harry-potter/1.png","","","",""
"1-1-005","Chaveiro Slim Hermione Granger","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-005-chaveiro-slim-hermione-granger/1.png","","","",""
"1-1-006","Chaveiro Slim Rony Weasley","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-006-chaveiro-slim-rony-weasley/1.png","","","",""
"1-1-007","Chaveiro Slim Draco Malfoy","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-007-chaveiro-slim-draco-malfoy/1.png","","","",""
"1-1-008","Chaveiro Slim Alvo Dumbledore","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-008-chaveiro-slim-alvo-dumbledore/1.png","","","",""
"1-1-009","Chaveiro Slim Severo Snape","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-009-chaveiro-slim-severo-snape/1.png","","","",""
"1-1-010","Chaveiro Slim Rúbeo Hagrid","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-010-chaveiro-slim-rubeo-hagrid/1.png","","","",""
"1-1-011","Chaveiro Slim Luna Lovegood","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-011-chaveiro-slim-luna-lovegood/1.png|/imagens/produtos/chaveiros/1-1-011-chaveiro-slim-luna-lovegood/2.jpg","","","",""
"1-1-012","Chaveiro Slim Dobby","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-012-chaveiro-slim-dobby/1.png","","","",""
"1-1-013","Chaveiro Slim Lord Voldemort","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-013-chaveiro-slim-lord-voldemort/1.png","","","",""
"1-1-014","Chaveiro Slim Neville Longbottom","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-014-chaveiro-slim-neville-longbottom/1.png","","","",""
"1-1-015","Chaveiro Slim Cedrico Diggory","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-015-chaveiro-slim-cedrico-diggory/1.png","","","",""
"1-1-016","Chaveiro Slim Bellatrix Lestrange","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-016-chaveiro-slim-bellatrix-lestrange/1.png","","","",""
"1-1-017","Chaveiro Slim Gina Weasley","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-017-chaveiro-slim-gina-weasley/1.png","","","",""
"1-1-018","Chaveiro Slim Sirius Black","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-018-chaveiro-slim-sirius-black/1.png","","","",""
"1-1-019","Chaveiro Slim Testrálio","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-019-chaveiro-slim-testralio/1.png","","","",""
"1-1-020","Chaveiro Slim Hipogrifo","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-020-chaveiro-slim-hipogrifo/1.png","","","",""
"1-1-021","Chaveiro Slim Plataforma 9¾","Chaveiro","Slim Classic","8","Produto em impressão 3D","Harry Potter Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-021-chaveiro-slim-plataforma-9¾/1.png","","","",""
"1-1-022","Chaveiro Slim Star Wars","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-022-chaveiro-slim-star-wars/1.png","","","",""
"1-1-023","Chaveiro Slim Darth Vader","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-023-chaveiro-slim-darth-vader/1.png","","","",""
"1-1-024","Chaveiro Slim C-3PO","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-024-chaveiro-slim-c-3po/1.png","","","",""
"1-1-025","Chaveiro Slim Estrela da Morte","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-025-chaveiro-slim-estrela-da-morte/1.png","","","",""
"1-1-026","Chaveiro Slim Stormtrooper","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-026-chaveiro-slim-stormtrooper/1.png","","","",""
"1-1-027","Chaveiro Slim Millennium Falcon","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-027-chaveiro-slim-millennium-falcon/1.png","","","",""
"1-1-028","Chaveiro Slim R2-D2","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-028-chaveiro-slim-r2-d2/1.png","","","",""
"1-1-029","Chaveiro Slim BB8","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-029-chaveiro-slim-bb8/1.png","","","",""
"1-1-030","Chaveiro Slim FN-2187","Chaveiro","Slim Classic","8","Produto em impressão 3D","Star Wars Tamanho: 6 cm","/imagens/produtos/chaveiros/1-1-030-chaveiro-slim-fn-2187/1.png","","","",""
